ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
639,Age Retirement,07/2014,1972,1972,Teacher,Secondary,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,Male,61 or older,,,,,
640,Age Retirement,09/2013,1973,2004,Deputy Principal,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,A,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,
641,Other,08/2013,2007,2007,Teacher Aide,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,N,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,41-45,,,,,
642,Resignation-Move overseas/interstate,09/2013,2010,2010,"School Based Professional Staff (Therapist, nurse, etc)",,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,D,N/A,A,A,A,A,SA,SA,N,A,A,A,A,A,A,A,A,N,N/A,Female,36-40,,,,,
643,Resignation-Move overseas/interstate,09/2013,2010,2010,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,31-35,N/A,N/A,N/A,N/A,Yes
644,Voluntary Early Retirement (VER),08/2013,1982,2009,Teacher,Secondary,Far North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,SA,SA,A,A,SA,A,SA,N/A,D,D,D,SA,SA,SA,SA,A,A,Female,56-60,N/A,Yes,N/A,N/A,N/A
645,Voluntary Early Retirement (VER),10/2013,1976,2008,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,A,A,A,A,A,N,A,A,SA,SA,A,N,N,N,A,A,N,A,N,N,Female,56-60,,,,,
646,Age Retirement,12/2013,1993,1993,Cleaner,,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,A,A,A,A,A,A,A,A,A,M,A,A,A,A,A,A,A,N,A,Female,61 or older,,,,,
647,Age Retirement,09/2013,1981,1997,Public Servant,AO5-AO7,Central Office,Corporate Strategy and Peformance,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,SD,N,D,A,A,A,SD,A,N,A,A,SD,SD,SD,D,N,A,D,N/A,N/A,Male,51-55,N/A,N/A,N/A,Yes,N/A
648,Resignation-Other reasons,09/2013,1992,1997,Technical Officer,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SD,SD,N,D,N,A,N,A,A,SA,SA,SA,A,A,SD,D,N,D,SD,N,N,Female,51-55,,,,,
649,Other,10/2013,2010,2010,Cleaner,,Not Stated,,Permanent Part-time,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,M,SA,SA,SA,SA,SA,SA,SA,M,SA,M,M,SA,M,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,
650,Resignation-Other employer,09/2013,1995,2008,Teacher Aide,,South East,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N/A,N,N,A,N,N,A,A,A,A,A,N/A,A,A,A,A,A,A,A,A,Female,51-55,,,,,
651,Resignation-Other employer,10/2013,1996,2003,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SD,N,SD,SD,D,SD,SD,A,D,SD,A,D,A,A,SD,D,A,N,A,A,Female,61 or older,,,,,
652,Resignation-Other reasons,09/2013,2010,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,N/A,N,A,A,D,D,N,A,A,A,A,A,SA,SA,N,A,N,A,D,D,Female,51-55,,,,,
653,Resignation-Move overseas/interstate,08/2013,1986,1993,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,N/A,N/A,N/A,N/A,Yes
654,Age Retirement,09/2013,1970,2013,Teacher,,Central Office,Early Childhood Education and Care,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,D,A,A,D,A,D,A,D,A,A,A,A,A,A,A,D,A,A,D,A,A,Female,56-60,,,,,
655,Age Retirement,01/2014,1974,1995,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N,A,N,N,A,N,A,A,A,A,A,N,N,A,A,A,A,A,A,A,Female,56-60,,,,,
656,Age Retirement,09/2013,1970,1994,School Principal,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,A,D,A,A,A,D,D,A,A,A,D,A,D,D,D,A,A,D,D,A,A,Male,56-60,,,,,
657,Other,10/2013,2011,2011,Teacher Aide,,Not Stated,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,D,SA,SA,SA,A,A,A,A,N,N,N,N,A,D,A,A,A,A,D,N,Female,26-30,,,,,
658,Age Retirement,10/2013,1978,1978,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,A,A,A,A,SA,A,A,A,D,A,A,SA,A,A,A,A,A,Female,51-55,,,,,
659,Resignation-Move overseas/interstate,09/2013,1971,2002,Teacher,Secondary,Metropolitan,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N/A,SA,A,A,A,A,SA,A,SA,A,A,N,A,A,A,A,A,A,A,A,,61 or older,,,,,
660,Resignation-Other reasons,08/2013,1998,Not Stated,Teacher Aide,Primary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,A,SA,A,SA,A,N,SA,SA,SA,N,N,N,SA,N,A,A,SA,N,A,Female,41-45,Yes,N/A,N/A,N/A,N/A
661,Age Retirement,09/2013,Not Stated,Not Stated,Cleaner,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,SA,A,A,N,A,A,A,A,A,N/A,N/A,A,N,A,A,A,A,N/A,A,Male,61 or older,,,,,
662,Age Retirement,01/2014,1970,2010,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,N,N,A,SA,SA,SA,SA,A,N/A,A,A,A,SA,A,A,N,N,Male,61 or older,,,,,
663,Resignation-Other reasons,09/2013,Not Stated,Not Stated,Teacher,Primary,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,D,A,A,SA,A,A,A,A,A,D,D,A,N,A,SA,SA,SA,SA,A,SA,Female,46-50,,,,,
665,Voluntary Early Retirement (VER),06/2013,1969,Not Stated,Public Servant,A01-A04,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,N,N,D,N,N,SA,A,SA,A,A,SA,A,A,SA,SA,A,A,A,Female,61 or older,,,,,
666,Resignation-Other employer,01/2014,1999,2013,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,SA,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,SA,A,A,N,A,Male,46-50,,,,,
667,Age Retirement,07/2014,1991,2001,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,D,SD,SD,A,A,SD,SD,SD,A,A,SD,A,N/A,SD,A,SD,A,A,SD,SD,Female,,,,,,
668,Resignation-Other employer,01/2014,2012,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,A,N,N/A,N,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,N,N,Male,21-25,,,,,
669,Resignation-Other reasons,12/2013,2011,2011,Teacher Aide,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,D,A,A,A,A,A,A,A,N,N,A,A,A,D,M,A,A,D,A,Female,41-45,,,,,
670,Age Retirement,01/2014,1983,2002,Guidance Officer,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,A,N,N,A,A,A,SA,SA,SA,SA,A,N,A,A,SA,SA,SA,A,A,,61 or older,,,,,
671,Resignation-Move overseas/interstate,12/2013,2013,2013,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,A,A,A,SA,SA,A,A,SA,SD,A,SD,D,SD,A,SA,N,A,N,A,Female,26-30,,,,,
672,Resignation-Move overseas/interstate,12/2013,2013,2013,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,A,A,A,A,N,A,N,N,A,N,A,A,A,A,A,N,N,Female,21-25,,,,,
673,Resignation-Other employer,12/2013,2009,2009,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Female,41-45,,,,,
674,Age Retirement,01/2014,1969,2001,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,N,N,D,N,A,D,D,D,N,A,N,SD,SD,SD,N,N,D,N,N,M,M,Female,61 or older,N/A,N/A,N/A,N/A,N/A
675,Contract Expired,12/2013,2012,2013,School Administrative Staff,,Metropolitan,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,SA,A,A,M,N/A,N,A,N/A,N/A,N,N,N/A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
676,Age Retirement,11/2013,1991,1998,Cleaner,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,N/A,N,A,A,A,A,A,SD,N,A,N/A,N/A,A,N/A,D,A,A,A,N/A,A,Female,51-55,,,,,
677,Voluntary Early Retirement (VER),09/2013,1988,1988,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,D,A,A,A,A,A,A,A,A,A,D,D,A,D,A,A,A,A,D,A,Female,61 or older,,,,,
678,Resignation-Other employer,01/2014,2010,2011,Teacher,Secondary,Far North Queensland,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,A,N,N,A,D,SD,D,A,SA,A,A,SA,A,SA,SD,SD,A,D,D,A,Female,26-30,,,,,
679,Ill Health Retirement,12/2013,1991,1991,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,N,D,A,SD,A,A,SD,N,A,A,SA,A,SA,SA,SA,A,A,Female,56-60,,,,,
680,Resignation-Move overseas/interstate,12/2013,2012,2012,,,Central Queensland,,Casual,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,36-40,,,,,
681,Age Retirement,12/2013,2001,2001,Cleaner,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N/A,A,A,A,A,A,A,A,N/A,N/A,A,N/A,A,N/A,A,A,A,A,N/A,A,Female,61 or older,,,,,
682,Contract Expired,12/2013,2013,2013,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M,D,A,A,A,SA,A,SA,SA,A,A,D,A,A,A,A,A,A,A,A,A,Female,21-25,Yes,Yes,Yes,,
683,Age Retirement,04/2014,1978,1994,Teacher,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,N,A,D,A,A,N,A,N,A,SA,N,A,SA,SA,N,D,A,D,A,Female,51-55,,,,,
684,Resignation-Other employer,11/2013,1988,1991,Teacher,Secondary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,46-50,,,,,
685,Resignation-Other employer,Not Stated,2011,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,SA,N,D,N,SA,A,A,N,A,N,N,D,N,N,N,N,N,Male,21-25,,,,,
686,Resignation-Other employer,11/2013,2004,2004,Schools Officer,,South East,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,N,D,SD,SD,A,D,N,SD,A,N,N,SD,N,D,SD,N,N,N,SD,D,D,Female,46-50,,,,,
687,Resignation-Other employer,01/2014,1985,2010,Public Servant,AO8 and Above,Central Office,Corporate Strategy and Peformance,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,N/A,A,A,SA,SA,A,SA,SA,N/A,SA,SA,SA,A,SA,SA,A,SA,SA,Male,56-60,,,,,
688,Ill Health Retirement,12/2013,Not Stated,Not Stated,Teacher,Primary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,A,A,SA,SA,A,A,SA,A,A,A,N,A,A,A,A,A,A,A,A,N,Female,56-60,,,,Yes,
689,Resignation-Other reasons,11/2013,2013,2013,Teacher Aide,,Darling Downs South West,,Permanent Part-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,A,A,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,N,Female,46-50,,,,,
690,Age Retirement,12/2013,2002,2002,Other,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N,A,N,A,A,SA,SA,SA,SA,SA,SA,D,D,A,A,SA,SA,SA,SD,A,Female,61 or older,,,,,
691,Age Retirement,Not Stated,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,A,A,SA,A,N,N,SA,A,N,A,A,A,A,A,SA,SA,SA,A,A,A,Female,56-60,,,,,
692,Resignation-Move overseas/interstate,01/2014,2004,2004,Teacher,Secondary,South East,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,D,A,A,A,D,N,N,A,A,A,A,A,A,A,A,A,A,A,A,Female,31-35,,,,,
693,Resignation-Other employer,01/2014,1998,2013,Teacher,,Darling Downs South West,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,N,A,A,N,N,N,A,A,A,A,SA,SA,SA,A,SA,SA,SA,N,A,Female,36-40,,,,,
694,Resignation-Other reasons,12/2013,2012,2012,Teacher,Secondary,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,SA,N,A,A,N,A,A,N,D,D,D,D,D,A,N,A,A,N,A,Female,21-25,,,,,
695,Resignation-Move overseas/interstate,01/2014,2010,2010,Teacher,Secondary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,N,D,N,D,D,A,A,A,A,A,A,A,A,N,N,N,A,SD,N,Male,41-45,,,,,
696,Resignation-Other reasons,Not Stated,2012,Not Stated,Teacher Aide,,Metropolitan,,Casual,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,46-50,,,,,
697,Age Retirement,10/2013,2011,2011,Teacher,Primary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,A,A,A,SA,A,SA,D,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,A,A,Male,61 or older,,,,,
698,Resignation-Move overseas/interstate,10/2013,2008,2008,Teacher Aide,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,A,A,SA,A,SA,A,A,SA,SA,A,SA,SA,SA,A,A,A,A,Male,26-30,Yes,,,,
699,Age Retirement,10/2013,1974,1989,School Administrative Staff,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SA,A,N,N,N,D,N,N,SA,N,N,D,N,D,A,D,N,N,D,N,A,Female,51-55,,,,,
700,Resignation-Other reasons,11/2013,2010,2010,Cleaner,,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,Female,41-45,,,,,
701,Age Retirement,Not Stated,2006,2006,Schools Officer,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,M,N,N,A,A,N,N,N,N,N,N,D,D,D,N,N,N,N,D,D,Male,61 or older,,,,,
702,Resignation-Other employer,11/2013,2007,2013,Other,,Central Office,Information and Technologies,Casual,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,D,N,A,SA,SA,SA,SA,SA,A,D,N,SA,SA,A,SA,SA,SA,SA,SA,N/A,Male,21-25,,,,,
703,Resignation-Other reasons,08/2013,1988,1988,Teacher,Primary,Central Queensland,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,D,SA,SA,SA,A,A,A,A,A,A,A,A,D,A,Female,46-50,,,,,
704,Other,09/2013,1998,2006,Cleaner,,Far North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,N,N,N,SA,SA,A,A,SA,SA,Female,56-60,,,,,
705,Resignation-Move overseas/interstate,10/2013,2013,2013,Public Servant,A01-A04,Central Office,"Policy, Research, Legislation",Permanent Full-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,N/A,SD,SD,A,A,D,D,SD,A,A,N/A,N/A,N/A,N/A,SD,D,SD,SD,N/A,N/A,Female,51-55,,,,,
706,Resignation-Other reasons,Not Stated,2006,2007,Teacher Aide,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,A,SA,SA,SA,SA,SA,A,SA,A,A,A,A,SA,SA,SA,A,A,A,A,Female,41-45,,,,,
