Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2002,523,344,65.8,249,47.6,72.4,95,18.2,27.6,154,29.4,44.8,95,18.2,27.6,105.0,20.1,58.0,11.1
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2003,586,368,62.8,270,46.1,73.4,107,18.3,29.1,163,27.8,44.3,98,16.7,26.6,131.0,22.4,77.0,13.1
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2004,532,304,57.1,224,42.1,73.7,80,15,26.3,144,27.1,47.4,80,15,26.3,163.0,30.6,52.0,9.8
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2005,542,364,67.2,270,49.8,74.2,109,20.1,29.9,161,29.7,44.2,94,17.3,25.8,109.0,20.1,55.0,10.1
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2006,526,311,59.1,220,41.8,70.7,66,12.5,21.2,154,29.3,49.5,91,17.3,29.3,111.0,21.1,86.0,16.3
Female,10X440,DEWITT CLINTON HIGH SCHOOL,2006 Aug,526,341,64.8,233,44.3,68.3,67,12.7,19.6,166,31.6,48.7,108,20.5,31.7,81.0,15.4,86.0,16.3
Female,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2003,42,35,83.3,21,50,60,3,7.1,8.6,18,42.9,51.4,14,33.3,40,6.0,14.3,0.0,0
Female,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2004,40,23,57.5,15,37.5,65.2,0,0,0,15,37.5,65.2,8,20,34.8,15.0,37.5,2.0,5
Female,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2005,46,31,67.4,23,50,74.2,3,6.5,9.7,20,43.5,64.5,8,17.4,25.8,9.0,19.6,2.0,4.3
Female,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006,42,31,73.8,20,47.6,64.5,4,9.5,12.9,16,38.1,51.6,11,26.2,35.5,5.0,11.9,5.0,11.9
Female,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006 Aug,42,32,76.2,21,50,65.6,4,9.5,12.5,17,40.5,53.1,11,26.2,34.4,4.0,9.5,5.0,11.9
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2001,300,295,98.3,295,98.3,100,291,97,98.6,4,1.3,1.4,0,0,0,4.0,1.3,1.0,0.3
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2002,247,244,98.8,244,98.8,100,244,98.8,100,0,0,0,0,0,0,2.0,0.8,0.0,0
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2003,266,262,98.5,262,98.5,100,259,97.4,98.9,3,1.1,1.1,0,0,0,4.0,1.5,0.0,0
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2004,284,280,98.6,280,98.6,100,278,97.9,99.3,2,0.7,0.7,0,0,0,4.0,1.4,0.0,0
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2005,274,272,99.3,272,99.3,100,272,99.3,100,0,0,0,0,0,0,1.0,0.4,0.0,0
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2006,285,279,97.9,279,97.9,100,276,96.8,98.9,3,1.1,1.1,0,0,0,6.0,2.1,0.0,0
Female,10X445,BRONX HIGH SCHOOL OF SCIENCE,2006 Aug,285,282,98.9,282,98.9,100,279,97.9,98.9,3,1.1,1.1,0,0,0,3.0,1.1,0.0,0
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2001,397,140,35.3,74,18.6,52.9,16,4,11.4,58,14.6,41.4,66,16.6,47.1,162.0,40.8,87.0,21.9
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2002,357,155,43.4,89,24.9,57.4,17,4.8,11,72,20.2,46.5,66,18.5,42.6,114.0,31.9,79.0,22.1
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2003,307,121,39.4,57,18.6,47.1,12,3.9,9.9,45,14.7,37.2,64,20.8,52.9,90.0,29.3,76.0,24.8
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2004,320,168,52.5,42,13.1,25,8,2.5,4.8,34,10.6,20.2,126,39.4,75,97.0,30.3,39.0,12.2
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2005,278,128,46,55,19.8,43,1,0.4,0.8,54,19.4,42.2,73,26.3,57,52.0,18.7,50.0,18
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2006,188,73,38.8,43,22.9,58.9,6,3.2,8.2,37,19.7,50.7,30,16,41.1,53.0,28.2,43.0,22.9
Female,10X475,JOHN F. KENNEDY HIGH SCHOOL,2006 Aug,188,95,50.5,50,26.6,52.6,6,3.2,6.3,44,23.4,46.3,45,23.9,47.4,33.0,17.6,41.0,21.8
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2001,3,s,,s,,,s,,,s,,,s,,,s,,s,
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2002,38,32,84.2,27,71.1,84.4,1,2.6,3.1,26,68.4,81.3,5,13.2,15.6,2.0,5.3,3.0,7.9
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2003,45,42,93.3,36,80,85.7,5,11.1,11.9,31,68.9,73.8,6,13.3,14.3,1.0,2.2,1.0,2.2
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2004,54,48,88.9,42,77.8,87.5,10,18.5,20.8,32,59.3,66.7,6,11.1,12.5,4.0,7.4,2.0,3.7
Female,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2005,52,44,84.6,40,76.9,90.9,9,17.3,20.5,31,59.6,70.5,4,7.7,9.1,7.0,13.5,1.0,1.9
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006,62,56,90.3,53,85.5,94.6,14,22.6,25,39,62.9,69.6,3,4.8,5.4,3.0,4.8,0.0,0
Female,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006 Aug,62,57,91.9,54,87.1,94.7,14,22.6,24.6,40,64.5,70.2,3,4.8,5.3,2.0,3.2,0.0,0
Female,10X495,UNIVERSITY HEIGHTS,2001,56,36,64.3,8,14.3,22.2,0,0,0,8,14.3,22.2,28,50,77.8,11.0,19.6,6.0,10.7
Female,10X495,UNIVERSITY HEIGHTS,2002,33,22,66.7,6,18.2,27.3,0,0,0,6,18.2,27.3,16,48.5,72.7,3.0,9.1,8.0,24.2
Female,10X495,UNIVERSITY HEIGHTS,2003,49,41,83.7,11,22.4,26.8,0,0,0,11,22.4,26.8,30,61.2,73.2,6.0,12.2,2.0,4.1
Female,10X495,UNIVERSITY HEIGHTS,2004,47,41,87.2,27,57.4,65.9,0,0,0,27,57.4,65.9,14,29.8,34.1,2.0,4.3,4.0,8.5
Female,10X495,UNIVERSITY HEIGHTS,2005,63,57,90.5,32,50.8,56.1,0,0,0,32,50.8,56.1,25,39.7,43.9,3.0,4.8,3.0,4.8
Female,10X495,UNIVERSITY HEIGHTS,2006,67,62,92.5,29,43.3,46.8,0,0,0,29,43.3,46.8,33,49.3,53.2,0.0,0,5.0,7.5
Female,10X495,UNIVERSITY HEIGHTS,2006 Aug,67,62,92.5,29,43.3,46.8,0,0,0,29,43.3,46.8,33,49.3,53.2,0.0,0,5.0,7.5
Female,10X546,BRONX THEATRE HIGH SCHOOL,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,
Female,10X546,BRONX THEATRE HIGH SCHOOL,2003,44,31,70.5,19,43.2,61.3,1,2.3,3.2,18,40.9,58.1,12,27.3,38.7,7.0,15.9,4.0,9.1
Female,10X546,BRONX THEATRE HIGH SCHOOL,2004,66,46,69.7,23,34.8,50,2,3,4.3,21,31.8,45.7,23,34.8,50,13.0,19.7,7.0,10.6
Female,10X546,BRONX THEATRE HIGH SCHOOL,2005,75,55,73.3,33,44,60,1,1.3,1.8,32,42.7,58.2,22,29.3,40,11.0,14.7,8.0,10.7
Female,10X546,BRONX THEATRE HIGH SCHOOL,2006,72,42,58.3,25,34.7,59.5,3,4.2,7.1,22,30.6,52.4,17,23.6,40.5,16.0,22.2,13.0,18.1
Female,10X546,BRONX THEATRE HIGH SCHOOL,2006 Aug,72,53,73.6,30,41.7,56.6,3,4.2,5.7,27,37.5,50.9,23,31.9,43.4,5.0,6.9,13.0,18.1
Female,10X549,DISCOVERY HIGH SCHOOL,2003,44,26,59.1,17,38.6,65.4,1,2.3,3.8,16,36.4,61.5,9,20.5,34.6,10.0,22.7,5.0,11.4
Female,10X549,DISCOVERY HIGH SCHOOL,2004,38,30,78.9,12,31.6,40,2,5.3,6.7,10,26.3,33.3,18,47.4,60,7.0,18.4,1.0,2.6
Female,10X549,DISCOVERY HIGH SCHOOL,2005,54,29,53.7,25,46.3,86.2,12,22.2,41.4,13,24.1,44.8,4,7.4,13.8,15.0,27.8,5.0,9.3
Female,10X549,DISCOVERY HIGH SCHOOL,2006,46,36,78.3,32,69.6,88.9,11,23.9,30.6,21,45.7,58.3,4,8.7,11.1,6.0,13,4.0,8.7
Female,10X549,DISCOVERY HIGH SCHOOL,2006 Aug,46,37,80.4,32,69.6,86.5,11,23.9,29.7,21,45.7,56.8,5,10.9,13.5,5.0,10.9,4.0,8.7
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2001,203,81,39.9,26,12.8,32.1,1,0.5,1.2,25,12.3,30.9,55,27.1,67.9,62.0,30.5,52.0,25.6
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2002,246,104,42.3,36,14.6,34.6,2,0.8,1.9,34,13.8,32.7,68,27.6,65.4,77.0,31.3,60.0,24.4
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2003,195,89,45.6,35,17.9,39.3,9,4.6,10.1,26,13.3,29.2,54,27.7,60.7,54.0,27.7,49.0,25.1
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2004,141,56,39.7,33,23.4,58.9,8,5.7,14.3,25,17.7,44.6,23,16.3,41.1,45.0,31.9,36.0,25.5
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2005,238,108,45.4,56,23.5,51.9,6,2.5,5.6,50,21,46.3,52,21.8,48.1,71.0,29.8,48.0,20.2
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006,232,105,45.3,69,29.7,65.7,5,2.2,4.8,64,27.6,61,36,15.5,34.3,55.0,23.7,63.0,27.2
Female,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006 Aug,232,116,50,71,30.6,61.2,5,2.2,4.3,66,28.4,56.9,45,19.4,38.8,45.0,19.4,62.0,26.7
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2002,31,30,96.8,30,96.8,100,20,64.5,66.7,10,32.3,33.3,0,0,0,1.0,3.2,0.0,0
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2003,48,46,95.8,46,95.8,100,40,83.3,87,6,12.5,13,0,0,0,2.0,4.2,0.0,0
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2004,45,44,97.8,44,97.8,100,44,97.8,100,0,0,0,0,0,0,1.0,2.2,0.0,0
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2005,37,37,100,37,100,100,31,83.8,83.8,6,16.2,16.2,0,0,0,0.0,0,0.0,0
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006,38,37,97.4,37,97.4,100,35,92.1,94.6,2,5.3,5.4,0,0,0,0.0,0,1.0,2.6
Female,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006 Aug,38,37,97.4,37,97.4,100,35,92.1,94.6,2,5.3,5.4,0,0,0,0.0,0,1.0,2.6
Female,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2004,54,43,79.6,39,72.2,90.7,2,3.7,4.7,37,68.5,86,4,7.4,9.3,3.0,5.6,8.0,14.8
Female,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,46,44,95.7,40,87,90.9,5,10.9,11.4,35,76.1,79.5,4,8.7,9.1,0.0,0,2.0,4.3
Female,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,38,36,94.7,36,94.7,100,7,18.4,19.4,29,76.3,80.6,0,0,0,2.0,5.3,0.0,0
Female,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006 Aug,38,36,94.7,36,94.7,100,7,18.4,19.4,29,76.3,80.6,0,0,0,2.0,5.3,0.0,0
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2004,63,46,73,17,27,37,0,0,0,17,27,37,29,46,63,5.0,7.9,11.0,17.5
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,56,34,60.7,15,26.8,44.1,1,1.8,2.9,14,25,41.2,19,33.9,55.9,7.0,12.5,12.0,21.4
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,74,52,70.3,42,56.8,80.8,3,4.1,5.8,39,52.7,75,10,13.5,19.2,12.0,16.2,9.0,12.2
Female,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006 Aug,74,54,73,43,58.1,79.6,3,4.1,5.6,40,54.1,74.1,11,14.9,20.4,10.0,13.5,9.0,12.2
Female,11X265,BRONX LAB SCHOOL,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X265,BRONX LAB SCHOOL,2004,58,47,81,25,43.1,53.2,0,0,0,25,43.1,53.2,22,37.9,46.8,10.0,17.2,1.0,1.7
Female,11X265,BRONX LAB SCHOOL,2005,50,39,78,19,38,48.7,0,0,0,19,38,48.7,20,40,51.3,11.0,22,0.0,0
Female,11X265,BRONX LAB SCHOOL,2006,39,28,71.8,11,28.2,39.3,0,0,0,11,28.2,39.3,17,43.6,60.7,8.0,20.5,3.0,7.7
Female,11X265,BRONX LAB SCHOOL,2006 Aug,39,31,79.5,12,30.8,38.7,0,0,0,12,30.8,38.7,19,48.7,61.3,5.0,12.8,3.0,7.7
Female,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,30,19,63.3,11,36.7,57.9,2,6.7,10.5,9,30,47.4,8,26.7,42.1,8.0,26.7,3.0,10
Female,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,29,17,58.6,10,34.5,58.8,1,3.4,5.9,9,31,52.9,7,24.1,41.2,10.0,34.5,1.0,3.4
Female,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006 Aug,29,21,72.4,12,41.4,57.1,1,3.4,4.8,11,37.9,52.4,9,31,42.9,6.0,20.7,1.0,3.4
Female,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2004,27,24,88.9,15,55.6,62.5,15,55.6,62.5,0,0,0,9,33.3,37.5,3.0,11.1,0.0,0
Female,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,19,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,19,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006 Aug,19,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2003,38,36,94.7,32,84.2,88.9,10,26.3,27.8,22,57.9,61.1,4,10.5,11.1,2.0,5.3,0.0,0
Female,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2004,49,42,85.7,32,65.3,76.2,10,20.4,23.8,22,44.9,52.4,10,20.4,23.8,7.0,14.3,0.0,0
Female,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,49,38,77.6,28,57.1,73.7,10,20.4,26.3,18,36.7,47.4,10,20.4,26.3,4.0,8.2,5.0,10.2
Female,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,56,50,89.3,48,85.7,96,23,41.1,46,25,44.6,50,2,3.6,4,1.0,1.8,5.0,8.9
Female,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006 Aug,56,50,89.3,48,85.7,96,23,41.1,46,25,44.6,50,2,3.6,4,1.0,1.8,5.0,8.9
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2003,48,36,75,25,52.1,69.4,1,2.1,2.8,24,50,66.7,11,22.9,30.6,11.0,22.9,1.0,2.1
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2004,63,39,61.9,34,54,87.2,5,7.9,12.8,29,46,74.4,5,7.9,12.8,14.0,22.2,9.0,14.3
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,78,54,69.2,40,51.3,74.1,4,5.1,7.4,36,46.2,66.7,14,17.9,25.9,14.0,17.9,7.0,9
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,64,45,70.3,38,59.4,84.4,4,6.3,8.9,34,53.1,75.6,7,10.9,15.6,12.0,18.8,7.0,10.9
Female,11X290,BRONX ACADEMY OF HEALTH CAREERS,2006 Aug,64,48,75,39,60.9,81.3,4,6.3,8.3,35,54.7,72.9,9,14.1,18.8,10.0,15.6,6.0,9.4
Female,11X299,ASTOR COLLEGIATE ACADEMY,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X299,ASTOR COLLEGIATE ACADEMY,2003,46,42,91.3,34,73.9,81,6,13,14.3,28,60.9,66.7,8,17.4,19,3.0,6.5,1.0,2.2
Female,11X299,ASTOR COLLEGIATE ACADEMY,2004,47,41,87.2,18,38.3,43.9,2,4.3,4.9,16,34,39,23,48.9,56.1,6.0,12.8,0.0,0
Female,11X299,ASTOR COLLEGIATE ACADEMY,2005,39,33,84.6,19,48.7,57.6,2,5.1,6.1,17,43.6,51.5,14,35.9,42.4,5.0,12.8,0.0,0
Female,11X299,ASTOR COLLEGIATE ACADEMY,2006,41,31,75.6,21,51.2,67.7,0,0,0,21,51.2,67.7,10,24.4,32.3,8.0,19.5,1.0,2.4
Female,11X299,ASTOR COLLEGIATE ACADEMY,2006 Aug,41,33,80.5,21,51.2,63.6,0,0,0,21,51.2,63.6,12,29.3,36.4,6.0,14.6,1.0,2.4
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2001,392,187,47.7,75,19.1,40.1,21,5.4,11.2,54,13.8,28.9,112,28.6,59.9,139.0,35.5,44.0,11.2
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2002,303,165,54.5,84,27.7,50.9,1,0.3,0.6,83,27.4,50.3,81,26.7,49.1,104.0,34.3,25.0,8.3
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2003,240,104,43.3,40,16.7,38.5,3,1.3,2.9,37,15.4,35.6,64,26.7,61.5,79.0,32.9,46.0,19.2
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2004,183,80,43.7,40,21.9,50,0,0,0,40,21.9,50,40,21.9,50,65.0,35.5,32.0,17.5
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,171,71,41.5,34,19.9,47.9,3,1.8,4.2,31,18.1,43.7,37,21.6,52.1,64.0,37.4,24.0,14
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006,167,84,50.3,49,29.3,58.3,3,1.8,3.6,46,27.5,54.8,35,21,41.7,55.0,32.9,18.0,10.8
Female,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006 Aug,167,90,53.9,52,31.1,57.8,3,1.8,3.3,49,29.3,54.4,38,22.8,42.2,49.0,29.3,18.0,10.8
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2002,22,19,86.4,6,27.3,31.6,0,0,0,6,27.3,31.6,13,59.1,68.4,2.0,9.1,1.0,4.5
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2003,30,24,80,11,36.7,45.8,0,0,0,11,36.7,45.8,13,43.3,54.2,3.0,10,2.0,6.7
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2004,33,22,66.7,9,27.3,40.9,1,3,4.5,8,24.2,36.4,13,39.4,59.1,6.0,18.2,2.0,6.1
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,46,30,65.2,14,30.4,46.7,1,2.2,3.3,13,28.3,43.3,16,34.8,53.3,11.0,23.9,4.0,8.7
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,41,24,58.5,19,46.3,79.2,2,4.9,8.3,17,41.5,70.8,5,12.2,20.8,5.0,12.2,8.0,19.5
Female,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006 Aug,41,28,68.3,22,53.7,78.6,2,4.9,7.1,20,48.8,71.4,6,14.6,21.4,1.0,2.4,8.0,19.5
Female,11X425,EVANDER CHILDS HIGH SCHOOL,2001,258,95,36.8,17,6.6,17.9,2,0.8,2.1,15,5.8,15.8,78,30.2,82.1,76.0,29.5,82.0,31.8
Female,11X425,EVANDER CHILDS HIGH SCHOOL,2002,188,67,35.6,28,14.9,41.8,0,0,0,28,14.9,41.8,39,20.7,58.2,63.0,33.5,51.0,27.1
Female,11X425,EVANDER CHILDS HIGH SCHOOL,2003,207,69,33.3,22,10.6,31.9,1,0.5,1.4,21,10.1,30.4,47,22.7,68.1,70.0,33.8,64.0,30.9
Female,11X425,EVANDER CHILDS HIGH SCHOOL,2004,71,30,42.3,9,12.7,30,0,0,0,9,12.7,30,21,29.6,70,12.0,16.9,25.0,35.2
Female,11X425,EVANDER CHILDS HIGH SCHOOL,2005,4,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2001,239,144,60.3,107,44.8,74.3,31,13,21.5,76,31.8,52.8,37,15.5,25.7,54.0,22.6,29.0,12.1
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2002,270,170,63,126,46.7,74.1,9,3.3,5.3,117,43.3,68.8,44,16.3,25.9,59.0,21.9,30.0,11.1
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2003,247,160,64.8,113,45.7,70.6,11,4.5,6.9,102,41.3,63.8,47,19,29.4,42.0,17,35.0,14.2
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2004,316,194,61.4,158,50,81.4,1,0.3,0.5,157,49.7,80.9,36,11.4,18.6,75.0,23.7,38.0,12
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2005,287,187,65.2,149,51.9,79.7,15,5.2,8,134,46.7,71.7,38,13.2,20.3,50.0,17.4,28.0,9.8
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2006,267,170,63.7,148,55.4,87.1,11,4.1,6.5,137,51.3,80.6,22,8.2,12.9,40.0,15,40.0,15
Female,11X455,HARRY S TRUMAN HIGH SCHOOL,2006 Aug,267,182,68.2,157,58.8,86.3,11,4.1,6,146,54.7,80.2,25,9.4,13.7,29.0,10.9,39.0,14.6
Female,11X513,NEW WORLD HIGH SCHOOL,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X513,NEW WORLD HIGH SCHOOL,2004,41,31,75.6,16,39,51.6,6,14.6,19.4,10,24.4,32.3,15,36.6,48.4,8.0,19.5,2.0,4.9
Female,11X513,NEW WORLD HIGH SCHOOL,2005,33,22,66.7,18,54.5,81.8,2,6.1,9.1,16,48.5,72.7,4,12.1,18.2,11.0,33.3,0.0,0
Female,11X513,NEW WORLD HIGH SCHOOL,2006,30,24,80,19,63.3,79.2,10,33.3,41.7,9,30,37.5,5,16.7,20.8,5.0,16.7,1.0,3.3
Female,11X513,NEW WORLD HIGH SCHOOL,2006 Aug,30,25,83.3,19,63.3,76,10,33.3,40,9,30,36,6,20,24,4.0,13.3,1.0,3.3
Female,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2004,40,34,85,15,37.5,44.1,2,5,5.9,13,32.5,38.2,19,47.5,55.9,6.0,15,0.0,0
Female,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2005,20,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006,11,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006 Aug,11,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2003,49,39,79.6,12,24.5,30.8,0,0,0,12,24.5,30.8,27,55.1,69.2,6.0,12.2,4.0,8.2
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2004,39,24,61.5,5,12.8,20.8,0,0,0,5,12.8,20.8,19,48.7,79.2,11.0,28.2,4.0,10.3
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2005,45,28,62.2,2,4.4,7.1,0,0,0,2,4.4,7.1,26,57.8,92.9,10.0,22.2,2.0,4.4
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006,40,23,57.5,12,30,52.2,3,7.5,13,9,22.5,39.1,11,27.5,47.8,9.0,22.5,4.0,10
Female,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006 Aug,40,25,62.5,12,30,48,3,7.5,12,9,22.5,36,13,32.5,52,7.0,17.5,4.0,10
Female,11X542,PELHAM PREPARATORY ACADEMY,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Female,11X542,PELHAM PREPARATORY ACADEMY,2002,47,40,85.1,29,61.7,72.5,2,4.3,5,27,57.4,67.5,11,23.4,27.5,6.0,12.8,1.0,2.1
Female,11X542,PELHAM PREPARATORY ACADEMY,2003,58,51,87.9,44,75.9,86.3,9,15.5,17.6,35,60.3,68.6,7,12.1,13.7,7.0,12.1,0.0,0
Female,11X542,PELHAM PREPARATORY ACADEMY,2004,64,55,85.9,39,60.9,70.9,12,18.8,21.8,27,42.2,49.1,16,25,29.1,5.0,7.8,4.0,6.3
Female,11X542,PELHAM PREPARATORY ACADEMY,2005,61,51,83.6,42,68.9,82.4,18,29.5,35.3,24,39.3,47.1,9,14.8,17.6,8.0,13.1,1.0,1.6
Female,11X542,PELHAM PREPARATORY ACADEMY,2006,62,59,95.2,52,83.9,88.1,13,21,22,39,62.9,66.1,7,11.3,11.9,2.0,3.2,0.0,0
Female,11X542,PELHAM PREPARATORY ACADEMY,2006 Aug,62,59,95.2,52,83.9,88.1,13,21,22,39,62.9,66.1,7,11.3,11.9,2.0,3.2,0.0,0
Female,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,
